id,skill,task_type,level,difficulty,prompt,stimulus,answer_key,sub_skill,explanation,created_at
1f849cb8-b295-49ba-a2ec-25aa6c73fc44,writing,open_ended,A2,0.5,Write 60 to 80 words. Include all the points in the task.,"{""scenario"":""Write a message to your building manager. There is loud noise in the building at night. Explain the problem, say when it happens, and ask for help."",""purpose"":""complaint/request"",""audience"":""building manager"",""register"":""neutral-polite""}","{""purpose"":""complaint/request"",""audience"":""building manager"",""metadata"":{""rationale"":""The learner can write a short practical message with straightforward explanation and request."",""subskills"":[""practical message"",""simple request"",""basic cohesion"",""polite forms""],""original_id"":""W_A2_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""Useful for confirming simple control of practical written communication."",""points_by_skill"":{""Writing"":25}}},""register"":""neutral-polite"",""scenario"":""Write a message to your building manager. There is loud noise in the building at night. Explain the problem, say when it happens, and ask for help.""}",,,2026-04-15 21:47:39.707308+00
22064dc2-6d21-44ae-a5b4-c8619b1bfac9,writing,open_ended,C1,0.5,Write 180 to 220 words. Structure your response clearly and maintain an appropriate formal tone.,"{""scenario"":""A local community hub wants to attract more adult learners. Write a recommendation note for the director. Compare two strategies: offering more online sessions or creating more in-person drop-in workshops. Evaluate both and recommend one approach for the next six months."",""purpose"":""recommendation note"",""audience"":""director of a community hub"",""register"":""formal-professional""}","{""purpose"":""recommendation note"",""audience"":""director of a community hub"",""metadata"":{""rationale"":""The learner can write well-structured, detailed text on complex issues, selecting and organising points to suit purpose and audience."",""subskills"":[""discursive control"",""synthesis"",""nuance"",""register management""],""original_id"":""W_C1_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""High score supports C1 and may trigger a C2 verification task."",""points_by_skill"":{""Writing"":25}}},""register"":""formal-professional"",""scenario"":""A local community hub wants to attract more adult learners. Write a recommendation note for the director. Compare two strategies: offering more online sessions or creating more in-person drop-in workshops. Evaluate both and recommend one approach for the next six months.""}",,,2026-04-15 21:47:39.80209+00
225a62ed-4129-435d-992f-36f4fbba723d,listening,mcq,C2,0.5,Which statement best represents the lecturer's view?,"Lecturer: Institutions often describe transparency as if it were a simple matter of showing more information. Yet disclosure, by itself, does not guarantee understanding. A school, hospital or public agency can release vast quantities of data and still remain opaque in the more meaningful sense, because people may be unable to judge what matters, compare cases or see where responsibility lies. This is why transparency has both a quantitative and a relational dimension. It is about what is shown, certainly, but also about whether the form of showing permits fair interpretation. The point is not that raw disclosure is useless. In some contexts it is essential. The problem arises when institutions treat publication as the end of accountability rather than one condition for it. At that moment, transparency turns oddly theatrical: information is displayed, while the burden of making sense of it is quietly transferred to the audience.","{""options"":[""Disclosure is necessary but insufficient for accountability"",""Raw disclosure is useless in every context"",""Accountability depends only on quantity of published data"",""Institutions should release less information""],""metadata"":{""rationale"":""The learner processes dense abstract spoken argument and distinguishes carefully between related but non-identical claims."",""subskills"":[""fine-grained inference"",""conceptual distinction"",""argument structure"",""speaker stance"",""counter-position recognition""],""tts_notes"":""Single academic British voice, medium pace, precise articulation, slight emphasis on contrastive terms such as 'yet', 'certainly', 'rather than'."",""distractors"":{""Raw disclosure is useless in every context"":""The lecturer rejects this absolute claim."",""Institutions should release less information"":""The talk does not argue for less information as such."",""Accountability depends only on quantity of published data"":""This is the position being criticised.""},""original_id"":""L_C2_01_Q5""},""explanation"":""The lecturer explicitly says raw disclosure can be essential, but it is only one condition for accountability."",""correctValue"":""Disclosure is necessary but insufficient for accountability"",""correct_index"":0}",,,2026-04-15 21:47:39.5946+00
2a1af965-9c61-4c1f-9b2a-4365cd13b5f3,reading,mcq,B2,0.5,What does 'only after managers agreed on what counted as urgent' suggest?,"Several companies have introduced 'quiet hours' in shared offices: set periods when no internal meetings are scheduled and staff are asked to avoid unnecessary messages. Supporters say the idea protects concentration in workplaces that were designed for collaboration but have become full of interruption. Critics, however, argue that the policy can create a false sense of productivity. If urgent issues are simply postponed, teams may feel calmer for two hours yet less coordinated by the end of the day.

One medium-sized design firm recently trialled quiet hours on Tuesday and Thursday mornings. It reported faster completion of individual tasks, but only after managers agreed on what counted as urgent and what could wait. The firm has kept the policy, though not because it believes silence is always efficient. Rather, the trial showed that teams work better when expectations are explicit.","{""options"":[""The policy needed clarification to succeed"",""Managers initially refused to join the trial"",""Staff were not allowed to ask questions"",""Urgent work was banned during quiet hours""],""metadata"":{""rationale"":""The learner can process more extended argument, follow contrasting viewpoints, and interpret why evidence is included."",""subskills"":[""main argument"",""detail"",""inference"",""attitude"",""evidence tracking""],""distractors"":{""Staff were not allowed to ask questions"":""The issue is classification of urgency, not banning questions."",""Urgent work was banned during quiet hours"":""Urgent work remained possible; it needed definition."",""Managers initially refused to join the trial"":""No refusal is described.""},""original_id"":""R_B2_01_Q3""},""explanation"":""The phrase shows that the trial became effective once people shared the same rules."",""correctValue"":""The policy needed clarification to succeed"",""correct_index"":0}",,,2026-04-15 21:47:38.959013+00
2bf55207-6b3e-4de5-84e5-d95128cbdde6,reading,mcq,C2,0.5,Why does the writer say beneficial friction cannot simply be maximised?,"In discussions of digital services, 'friction' is often treated as a flaw to be eliminated. The ideal user journey, we are told, is one in which intention flows effortlessly into action. Yet this language assumes that every hesitation is waste. In practice, some forms of friction do not obstruct judgement; they create the brief pause in which judgement becomes possible. A confirmation screen before deleting years of photographs, a cooling-off period before a major purchase, or a requirement to revisit the implications of sharing personal data can all be irritating in the narrow sense that they slow us down. But the inconvenience is not always incidental to the value; it may be part of it.

The difficulty is that beneficial friction cannot simply be maximised. Delay piled upon delay soon ceases to protect reflection and starts to punish ordinary use. Nor is all reflection equally distributed: what feels like a welcome safeguard to one user may feel like a bureaucratic maze to another. The design problem, then, is not whether systems should be smooth or resistant. It is how to distinguish between friction that guards against costly impulsiveness and friction that merely advertises institutional distrust. The distinction is morally and politically relevant because designers rarely decide only how quickly a task can be done. They also, more quietly, shape the terms on which people are treated as careful, careless, trusted or suspect.","{""options"":[""Because too much delay can become punitive rather than protective"",""Because users prefer paper forms"",""Because smooth systems are always more ethical"",""Because designers have no influence over behaviour""],""metadata"":{""rationale"":""The learner handles dense abstract prose, unpacks layered reasoning, and identifies both the claim and its limits with precision."",""subskills"":[""synthesis"",""fine-grained inference"",""conceptual precision"",""argument evaluation"",""counter-position recognition""],""distractors"":{""Because users prefer paper forms"":""No medium preference is discussed."",""Because smooth systems are always more ethical"":""The passage resists this binary."",""Because designers have no influence over behaviour"":""The final sentence argues the opposite.""},""original_id"":""R_C2_01_Q2""},""explanation"":""The second paragraph explicitly says that excessive delay stops protecting reflection and starts punishing ordinary use."",""correctValue"":""Because too much delay can become punitive rather than protective"",""correct_index"":0}",,,2026-04-15 21:47:39.098479+00
373e553f-4357-4424-9a7a-d0b6542eab5a,reading,mcq,B1,0.5,What does Nadia imply about her return time?,"Hi Sam,
Just a quick note about tomorrow. The engineer will come between 8 and 10 to check the boiler, so please do not leave the flat before then. I have put the spare key in the blue mug above the fridge in case you need to pop downstairs. Also, a parcel for me may arrive in the afternoon. If it does, could you leave it with Mrs Patel in flat 3B? I will be back around 6, unless the train is delayed again.
Thanks,
Nadia","{""options"":[""It may change because of transport problems"",""It is earlier than usual"",""She is not sure which flat she lives in"",""She plans to meet the engineer herself""],""metadata"":{""rationale"":""The learner follows connected everyday prose, identifies main points, and tracks practical consequences in familiar settings."",""subskills"":[""gist"",""sequence"",""detail"",""writer intention""],""distractors"":{""It is earlier than usual"":""The time sounds specific, but no comparison is given."",""She plans to meet the engineer herself"":""The email implies the opposite because Sam should stay."",""She is not sure which flat she lives in"":""The flat number refers to Mrs Patel, not Nadia.""},""original_id"":""R_B1_01_Q5""},""explanation"":""She says she will be back around 6 unless the train is delayed again."",""correctValue"":""It may change because of transport problems"",""correct_index"":0}",,,2026-04-15 21:47:38.959013+00
37c210cf-4e32-4b94-a3ed-b543434f72d9,listening,mcq,C1,0.5,What does 'None of this means hybrid working has damaged urban life beyond repair' do in the argument?,"Host: City centres were once expected to revive automatically after large numbers of office workers began returning part-time. That expectation now looks too simple. A café owner may welcome the midweek rush, but not if Mondays and Fridays remain so quiet that staffing becomes guesswork. For landlords, a half-full building can appear respectable in a brochure while still failing to support the shops below it. None of this means hybrid working has damaged urban life beyond repair. It does suggest, though, that cities built around predictable office routines cannot rely on partial attendance to recreate the same economic pattern. A district that was designed to serve daily workers may need to become more hospitable to residents, students and occasional visitors instead. In other words, the question is no longer how to restore the old rhythm, but whether clinging to it prevents a more adaptable one from emerging.","{""options"":[""It limits the criticism and avoids overstatement"",""It introduces a stronger attack on hybrid working"",""It changes the topic to housing policy"",""It dismisses the café owner's concerns""],""metadata"":{""rationale"":""The learner understands longer spoken commentary with qualification, concession and layered viewpoint."",""subskills"":[""nuanced stance"",""contrast"",""reference"",""inference"",""evaluation""],""tts_notes"":""Single confident British voice, reflective current-affairs style, slight emphasis on concessions."",""distractors"":{""It changes the topic to housing policy"":""Housing is not introduced here."",""It dismisses the café owner's concerns"":""The concerns remain part of the evidence."",""It introduces a stronger attack on hybrid working"":""The phrase explicitly softens the criticism.""},""original_id"":""L_C1_01_Q3""},""explanation"":""The speaker steps back from a total negative judgement before refining the real claim."",""correctValue"":""It limits the criticism and avoids overstatement"",""correct_index"":0}",,,2026-04-15 21:47:39.5946+00
41b6c44c-3c3e-4afa-ae8b-1f26e1023a69,listening,mcq,C1,0.5,Why does the speaker mention Mondays and Fridays?,"Host: City centres were once expected to revive automatically after large numbers of office workers began returning part-time. That expectation now looks too simple. A café owner may welcome the midweek rush, but not if Mondays and Fridays remain so quiet that staffing becomes guesswork. For landlords, a half-full building can appear respectable in a brochure while still failing to support the shops below it. None of this means hybrid working has damaged urban life beyond repair. It does suggest, though, that cities built around predictable office routines cannot rely on partial attendance to recreate the same economic pattern. A district that was designed to serve daily workers may need to become more hospitable to residents, students and occasional visitors instead. In other words, the question is no longer how to restore the old rhythm, but whether clinging to it prevents a more adaptable one from emerging.","{""options"":[""To illustrate uneven demand that makes planning difficult"",""To say those are the best days for cafés"",""To recommend shorter working weeks"",""To explain a public transport timetable""],""metadata"":{""rationale"":""The learner understands longer spoken commentary with qualification, concession and layered viewpoint."",""subskills"":[""nuanced stance"",""contrast"",""reference"",""inference"",""evaluation""],""tts_notes"":""Single confident British voice, reflective current-affairs style, slight emphasis on concessions."",""distractors"":{""To recommend shorter working weeks"":""Working-week policy is not proposed."",""To explain a public transport timetable"":""No transport timetable is discussed."",""To say those are the best days for cafés"":""The text says the opposite.""},""original_id"":""L_C1_01_Q2""},""explanation"":""The quiet days make staffing uncertain, showing why partial return patterns are hard to manage."",""correctValue"":""To illustrate uneven demand that makes planning difficult"",""correct_index"":0}",,,2026-04-15 21:47:39.5946+00
4a8e5e2a-9862-4a81-8743-94049b018fc8,listening,mcq,B1,0.5,Which positive update is mentioned at the end?,"Welcome to Riverside Co-working. A quick update for members: the second-floor kitchen will be closed this Thursday afternoon while new water filters are fitted. Tea and coffee will still be available in the ground-floor lounge, but the microwave there is out of order until Friday. If you have booked the large meeting room after two o'clock, please check your email. A few bookings have been moved to smaller rooms because the maintenance team needs access to the corridor. We apologise for the disruption. On the positive side, the roof terrace will reopen next week after repairs, so members will once again be able to work there in dry weather.","{""options"":[""The roof terrace will reopen next week"",""The second-floor kitchen will stay open late"",""A new microwave arrives tomorrow"",""The corridor will become a study space""],""metadata"":{""rationale"":""The learner follows clear standard speech on familiar situations and identifies the main point plus supporting practical detail."",""subskills"":[""gist"",""detail"",""speaker intention"",""practical consequence""],""tts_notes"":""Single neutral British voice, clear announcement style, medium pace."",""distractors"":{""A new microwave arrives tomorrow"":""The microwave problem is mentioned, but no new one is promised."",""The corridor will become a study space"":""The corridor is mentioned only as a work area for the maintenance team."",""The second-floor kitchen will stay open late"":""This reverses the closure information.""},""original_id"":""L_B1_01_Q5""},""explanation"":""The final sentence gives this as the positive news."",""correctValue"":""The roof terrace will reopen next week"",""correct_index"":0}",,,2026-04-15 21:47:39.473+00
5402f14b-e822-4fe5-808f-121b78a23f11,listening,mcq,A2,0.5,What time does the beginner class start?,"Woman: Hello, City Sports Centre.
Man: Hi. I'm calling about the evening badminton classes.
Woman: Yes, we have them on Mondays and Wednesdays. Beginners start at six and the mixed-level group starts at seven fifteen.
Man: Right. I'm probably a beginner. Do I need to bring my own racket?
Woman: No, you can borrow one for the first two weeks. After that, most people bring their own.
Man: Great. And how much is it?
Woman: It's eight pounds per class, or twenty-eight pounds for four classes in one month.
Man: Thanks. I'll come on Wednesday.
Woman: Fine. Please arrive ten minutes before the class starts.","{""options"":[""6.00"",""7.15"",""8.00"",""5.50""],""metadata"":{""rationale"":""The learner follows short everyday conversations and extracts key practical information with clear support."",""subskills"":[""practical detail"",""purpose"",""simple inference"",""familiar transactional language""],""tts_notes"":""Two distinct British voices, moderate pace, slight pause between turns."",""distractors"":{""5.50"":""This comes from the 'ten minutes before' instruction."",""7.15"":""This is the mixed-level group's start time."",""8.00"":""This is close to the cost figure and may confuse weaker listeners.""},""original_id"":""L_A2_01_Q2""},""explanation"":""The woman says beginners start at six."",""correctValue"":""6.00"",""correct_index"":0}",,,2026-04-15 21:47:39.337225+00
5b55bc17-8869-4917-87bf-cd540f8a131e,listening,mcq,A1,0.5,Who is speaking?,"Hello, this is Green Street Dental Centre. Your appointment is on Tuesday the 14th at half past nine in the morning. Please arrive ten minutes early and bring your health card. If you need to change the time, call us before Monday afternoon. Thank you.","{""options"":[""A dental centre"",""A train station"",""A school office"",""A library""],""metadata"":{""rationale"":""The learner understands very simple recorded messages with clear delivery and familiar practical content."",""subskills"":[""gist"",""detail"",""time and date recognition"",""simple instruction""],""tts_notes"":""Slow-clear pace, neutral British voice, natural pauses after date, time and instructions."",""distractors"":{""A library"":""Common public-service distractor."",""A school office"":""Offices also call with reminders, but the place is named clearly."",""A train station"":""Appointments and times may suggest travel announcements to weaker listeners.""},""original_id"":""L_A1_01_Q1""},""explanation"":""The message begins with 'this is Green Street Dental Centre'."",""correctValue"":""A dental centre"",""correct_index"":0}",,,2026-04-15 21:47:39.337225+00
5cf40d81-628b-4ab2-a7b0-b69d3a6ff33d,listening,short_answer,B1,0.5,What is out of order until Friday?,"Welcome to Riverside Co-working. A quick update for members: the second-floor kitchen will be closed this Thursday afternoon while new water filters are fitted. Tea and coffee will still be available in the ground-floor lounge, but the microwave there is out of order until Friday. If you have booked the large meeting room after two o'clock, please check your email. A few bookings have been moved to smaller rooms because the maintenance team needs access to the corridor. We apologise for the disruption. On the positive side, the roof terrace will reopen next week after repairs, so members will once again be able to work there in dry weather.","{""options"":[],""metadata"":{""rationale"":""The learner follows clear standard speech on familiar situations and identifies the main point plus supporting practical detail."",""subskills"":[""gist"",""detail"",""speaker intention"",""practical consequence""],""tts_notes"":""Single neutral British voice, clear announcement style, medium pace."",""distractors"":{""common_error"":""Learners may answer 'the kitchen', which is closed on Thursday afternoon but not 'out of order until Friday'.""},""original_id"":""L_B1_01_Q4""},""explanation"":""The speaker says the microwave in the ground-floor lounge is out of order until Friday."",""correctValue"":""the microwave"",""correct_index"":-1}",,,2026-04-15 21:47:39.473+00
5ef2dc54-ff28-4dbb-b28c-1f54d54791ec,listening,short_answer,B2,0.5,"According to the speaker, what should good policy be based on?","Presenter: Many shops now encourage customers to return unwanted online purchases in person rather than by post. Retailers often present this as a greener option, and sometimes it is. A single return journey can be combined with other errands, while individual delivery trips may involve extra packaging and transport. But the environmental argument becomes less convincing when customers drive long distances only to hand back a low-value item. Some companies have started experimenting with local drop boxes, which may reduce emissions and queueing at busy counters. The broader lesson is that convenience and sustainability do not always point in the same direction. Good policy depends less on slogans than on understanding what people will actually do, not what companies hope they will do.","{""options"":[],""metadata"":{""rationale"":""The learner follows extended standard speech, including explanation and qualification, and can interpret why examples are used."",""subskills"":[""argument gist"",""detail"",""speaker attitude"",""implication"",""cause-effect""],""tts_notes"":""Single voice, radio-feature style, slightly varied emphasis on contrastive phrases."",""distractors"":{""common_error"":""Learners may answer 'slogans' because the speaker explicitly rejects that basis.""},""original_id"":""L_B2_01_Q4""},""explanation"":""The final sentence contrasts real behaviour with company hopes or slogans."",""correctValue"":""understanding what people will actually do"",""correct_index"":-1}",,,2026-04-15 21:47:39.473+00
